ticket_id,channel,customer_message,sentiment_label,word_count,urgent_flag
TKT00103,email,Billing is incorrect and I was charged twice this month. My ticket number is 56483.,negative,15,1
TKT00104,chat,The refund process was fast and convenient. My ticket number is 82331.,positive,12,0
TKT00105,app,Can someone explain the difference between the plans?,neutral,8,0
TKT00106,phone,Please provide the steps to activate analytics.,neutral,7,0
TKT00107,phone,The refund process was fast and convenient.,positive,7,0
TKT00108,app,Can you confirm whether my ticket has been assigned? My ticket number is 83509.,neutral,14,0
TKT00109,social,The app crashes whenever I try to use profile update. Please respond as soon as possible.,negative,16,1
TKT00110,email,I like the new profile update and it is easy to use.,positive,12,0
TKT00111,social,The delivery was smooth and the product quality is excellent. My ticket number is 79102.,positive,15,0
TKT00112,chat,I am very unhappy because my router has not worked since three days ago. My ticket number is 24804.,negative,19,0
TKT00113,email,The product quality is bad and I regret purchasing it. My ticket number is 37963.,negative,15,1
TKT00114,phone,The delivery was late and the package arrived damaged. Please respond as soon as possible.,negative,15,1
TKT00115,phone,The mobile app is working well and I am happy with the service.,positive,13,0
TKT00116,social,The dashboard keeps failing and support has not resolved my issue.,negative,11,1
TKT00117,phone,I would like to know more about the available plans. Please respond as soon as possible.,neutral,16,1
TKT00118,email,I need help finding the invoice for my last order.,neutral,10,0
TKT00119,chat,The internet speed is slow and customer care is not helping. Please respond as soon as possible.,negative,17,1
TKT00120,social,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00121,social,I need help finding the invoice for my last order.,neutral,10,0
TKT00122,email,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00123,chat,The product quality is bad and I regret purchasing it.,negative,10,0
TKT00124,email,Please provide the steps to activate notifications. My ticket number is 20303.,neutral,12,0
TKT00125,email,The product quality is bad and I regret purchasing it. My ticket number is 63843.,negative,15,0
TKT00126,email,Can you confirm whether my ticket has been assigned? My ticket number is 73636. Please respond as soon as possible.,neutral,20,1
TKT00127,chat,I need help finding the invoice for my last order.,neutral,10,0
TKT00128,phone,Billing is incorrect and I was charged twice this month.,negative,10,1
TKT00129,app,The response from the team was helpful and professional. My ticket number is 57734.,positive,14,0
TKT00130,social,I am very unhappy because my service plan has not worked since three days ago. Please respond as soon as possible.,negative,21,1
TKT00131,app,The dashboard is working well and I am happy with the service.,positive,12,0
TKT00132,app,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00133,chat,I need help finding the invoice for my last order. My ticket number is 98508.,neutral,15,0
TKT00134,app,I want to cancel because the service quality is poor and unreliable.,negative,12,0
TKT00135,email,I want to cancel because the service quality is poor and unreliable. My ticket number is 20363. Please respond as soon as possible.,negative,23,1
TKT00136,app,My refund is still pending and this experience is frustrating. My ticket number is 80366. Please respond as soon as possible.,negative,21,1
TKT00137,social,Please provide the steps to activate report download. My ticket number is 20372. Please respond as soon as possible.,neutral,19,1
TKT00138,app,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00139,email,The delivery was smooth and the product quality is excellent.,positive,10,0
TKT00140,social,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 55314.,negative,16,0
TKT00141,chat,My refund is still pending and this experience is frustrating.,negative,10,1
TKT00142,email,My refund is still pending and this experience is frustrating.,negative,10,0
TKT00143,chat,Billing is incorrect and I was charged twice this month. My ticket number is 71239.,negative,15,1
TKT00144,social,Your support team resolved my issue quickly. Thank you. My ticket number is 68648.,positive,14,0
TKT00145,chat,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00146,email,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 82756.,negative,16,0
TKT00147,chat,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00148,chat,The response from the team was helpful and professional.,positive,9,0
TKT00149,phone,My refund is still pending and this experience is frustrating.,negative,10,1
TKT00150,app,The router keeps failing and support has not resolved my issue.,negative,11,0
TKT00151,app,I want to cancel because the service quality is poor and unreliable.,negative,12,1
TKT00152,social,My refund is still pending and this experience is frustrating.,negative,10,0
TKT00153,phone,The app crashes whenever I try to use payment.,negative,9,0
TKT00154,chat,The refund process was fast and convenient. My ticket number is 51222.,positive,12,0
TKT00155,email,Your support team resolved my issue quickly. Thank you. My ticket number is 40480. I appreciate the quick response.,positive,19,0
TKT00156,chat,The installation was completed on time and everything works perfectly. My ticket number is 36703.,positive,15,0
TKT00157,email,Please tell me how to update my account details. Please respond as soon as possible.,neutral,15,1
TKT00158,social,Great service and clear communication from the support team. I appreciate the quick response.,positive,14,0
TKT00159,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 15869.,negative,17,1
TKT00160,email,I am very unhappy because my subscription has not worked since after the recent update.,negative,15,1
TKT00161,chat,I need help finding the invoice for my last order. My ticket number is 20959.,neutral,15,0
TKT00162,phone,I would like to know more about the available plans.,neutral,10,0
TKT00163,social,I would like to know more about the available plans.,neutral,10,0
TKT00164,email,I need information about the payment process.,neutral,7,0
TKT00165,phone,The delivery was late and the package arrived damaged. Please respond as soon as possible.,negative,15,1
TKT00166,email,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00167,phone,Please provide the steps to activate analytics. My ticket number is 94843.,neutral,12,0
TKT00168,social,The router keeps failing and support has not resolved my issue. My ticket number is 68591.,negative,16,1
TKT00169,social,The installation was completed on time and everything works perfectly. I appreciate the quick response.,positive,15,0
TKT00170,social,The refund process was fast and convenient.,positive,7,0
TKT00171,chat,Please provide the steps to activate profile update. Please respond as soon as possible.,neutral,14,1
TKT00172,app,Can someone explain the difference between the plans?,neutral,8,0
TKT00173,phone,Your support team resolved my issue quickly. Thank you.,positive,9,0
TKT00174,email,I would like to know more about the available plans.,neutral,10,0
TKT00175,social,The delivery was smooth and the product quality is excellent.,positive,10,0
TKT00176,email,Please tell me how to update my account details.,neutral,9,0
TKT00177,social,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00178,phone,The service plan keeps failing and support has not resolved my issue. My ticket number is 21824.,negative,17,1
TKT00179,social,Please tell me how to update my account details.,neutral,9,0
TKT00180,app,The dashboard keeps failing and support has not resolved my issue. My ticket number is 31327. Please respond as soon as possible.,negative,22,1
TKT00181,phone,The product quality is bad and I regret purchasing it.,negative,10,0
TKT00182,phone,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00183,phone,Can you share the status of my order request? My ticket number is 85756. Please respond as soon as possible.,neutral,20,1
TKT00184,phone,Can you share the status of my subscription request? Please respond as soon as possible.,neutral,15,1
TKT00185,app,Can you share the status of my service plan request?,neutral,10,0
TKT00186,social,Great service and clear communication from the support team. My ticket number is 21660.,positive,14,0
TKT00187,social,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 65008. Please respond as soon as possible.,negative,22,1
TKT00188,email,I am satisfied with the plan and would recommend it to others. My ticket number is 56062.,positive,17,0
TKT00189,email,The product quality is bad and I regret purchasing it. My ticket number is 70794.,negative,15,1
TKT00190,social,Billing is incorrect and I was charged twice this month. My ticket number is 67748. Please respond as soon as possible.,negative,21,1
TKT00191,email,I am very unhappy because my subscription has not worked since yesterday.,negative,12,0
TKT00192,chat,The response from the team was helpful and professional.,positive,9,0
TKT00193,app,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00194,social,The product quality is bad and I regret purchasing it.,negative,10,0
TKT00195,email,Great service and clear communication from the support team.,positive,9,0
TKT00196,app,The subscription keeps failing and support has not resolved my issue. My ticket number is 56110.,negative,16,0
TKT00197,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 57178.,negative,17,0
TKT00198,app,I want to cancel because the service quality is poor and unreliable.,negative,12,1
TKT00199,social,I need help finding the invoice for my last order.,neutral,10,0
TKT00200,phone,I want to cancel because the service quality is poor and unreliable.,negative,12,0
TKT00201,email,Please tell me how to update my account details. My ticket number is 68239.,neutral,14,0
TKT00202,chat,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00203,phone,Can you share the status of my subscription request? My ticket number is 74668.,neutral,14,0
TKT00204,app,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00205,app,The refund process was fast and convenient.,positive,7,0
TKT00206,chat,Can you share the status of my mobile app request?,neutral,10,0
TKT00207,phone,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1
TKT00208,email,The installation was completed on time and everything works perfectly. My ticket number is 64746.,positive,15,0
TKT00209,social,The order keeps failing and support has not resolved my issue.,negative,11,0
TKT00210,app,The product quality is bad and I regret purchasing it. My ticket number is 74528. Please respond as soon as possible.,negative,21,1
TKT00211,phone,The delivery was smooth and the product quality is excellent.,positive,10,0
TKT00212,social,I need information about the payment process.,neutral,7,0
TKT00213,chat,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 46363.,negative,16,0
TKT00214,email,Can someone explain the difference between the plans?,neutral,8,0
TKT00215,phone,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00216,app,I want to understand the warranty terms for this product. Please respond as soon as possible.,neutral,16,1
TKT00217,social,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00218,chat,My refund is still pending and this experience is frustrating. My ticket number is 41671.,negative,15,0
TKT00219,phone,I like the new analytics and it is easy to use.,positive,11,0
TKT00220,chat,The subscription is working well and I am happy with the service.,positive,12,0
TKT00221,chat,I am very unhappy because my insurance policy has not worked since three days ago. Please respond as soon as possible.,negative,21,1
TKT00222,phone,I am satisfied with the plan and would recommend it to others. My ticket number is 23863.,positive,17,0
TKT00223,email,I am very unhappy because my mobile app has not worked since last week.,negative,14,0
TKT00224,social,I am very unhappy because my subscription has not worked since yesterday. Please respond as soon as possible.,negative,18,1
TKT00225,app,Please provide the steps to activate video call. My ticket number is 25289. Please respond as soon as possible.,neutral,19,1
TKT00226,app,Please tell me how to update my account details.,neutral,9,0
TKT00227,social,The product quality is bad and I regret purchasing it. Please respond as soon as possible.,negative,16,1
TKT00228,chat,The refund process was fast and convenient. My ticket number is 41492.,positive,12,0
TKT00229,app,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00230,chat,The mobile app is working well and I am happy with the service. My ticket number is 55121.,positive,18,0
TKT00231,email,Great service and clear communication from the support team.,positive,9,0
TKT00232,email,I need help finding the invoice for my last order.,neutral,10,0
TKT00233,social,I am checking if there is any scheduled maintenance today. My ticket number is 23948.,neutral,15,0
TKT00234,phone,Can someone explain the difference between the plans?,neutral,8,0
TKT00235,email,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00236,chat,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00237,phone,Billing is incorrect and I was charged twice this month.,negative,10,0
TKT00238,chat,Your support team resolved my issue quickly. Thank you. My ticket number is 17074. I appreciate the quick response.,positive,19,0
TKT00239,phone,Can someone explain the difference between the plans? Please respond as soon as possible.,neutral,14,1
TKT00240,email,I have raised multiple tickets but nobody has fixed the problem.,negative,11,0
TKT00241,chat,The app crashes whenever I try to use login.,negative,9,1
TKT00242,chat,The response from the team was helpful and professional. My ticket number is 67528.,positive,14,0
TKT00243,app,I would like to know more about the available plans. My ticket number is 27123.,neutral,15,0
TKT00244,social,I am very unhappy because my dashboard has not worked since this morning. My ticket number is 99414.,negative,18,1
TKT00245,chat,The internet speed is slow and customer care is not helping.,negative,11,0
TKT00246,email,The subscription keeps failing and support has not resolved my issue. My ticket number is 99474.,negative,16,0
TKT00247,email,Please provide the steps to activate tracking.,neutral,7,0
TKT00248,app,The account is working well and I am happy with the service. I appreciate the quick response.,positive,17,0
TKT00249,email,Please tell me how to update my account details. Please respond as soon as possible.,neutral,15,1
TKT00250,email,Can someone explain the difference between the plans?,neutral,8,0
TKT00251,phone,Please provide the steps to activate payment.,neutral,7,0
TKT00252,chat,The product quality is bad and I regret purchasing it.,negative,10,1
TKT00253,social,I need help finding the invoice for my last order. Please respond as soon as possible.,neutral,16,1
TKT00254,email,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00255,social,I want to cancel because the service quality is poor and unreliable.,negative,12,0
TKT00256,email,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00257,email,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00258,chat,I need help finding the invoice for my last order. My ticket number is 54411.,neutral,15,0
TKT00259,chat,The response from the team was helpful and professional.,positive,9,0
TKT00260,app,I have raised multiple tickets but nobody has fixed the problem. My ticket number is 57951.,negative,16,0
TKT00261,phone,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1
TKT00262,phone,The refund process was fast and convenient.,positive,7,0
TKT00263,email,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00264,social,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00265,app,Can you share the status of my order request? My ticket number is 54786. Please respond as soon as possible.,neutral,20,1
TKT00266,chat,I want to understand the warranty terms for this product. My ticket number is 68547. Please respond as soon as possible.,neutral,21,1
TKT00267,chat,I have raised multiple tickets but nobody has fixed the problem.,negative,11,1
TKT00268,chat,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00269,app,Your support team resolved my issue quickly. Thank you. My ticket number is 17318.,positive,14,0
TKT00270,social,The internet speed is slow and customer care is not helping. My ticket number is 94622.,negative,16,1
TKT00271,email,The delivery was smooth and the product quality is excellent.,positive,10,0
TKT00272,chat,Great service and clear communication from the support team. My ticket number is 96237.,positive,14,0
TKT00273,app,Can someone explain the difference between the plans?,neutral,8,0
TKT00274,chat,The internet speed is slow and customer care is not helping.,negative,11,1
TKT00275,chat,The internet speed is slow and customer care is not helping.,negative,11,1
TKT00276,phone,I am very unhappy because my router has not worked since yesterday. Please respond as soon as possible.,negative,18,1
TKT00277,email,The app experience is smooth and reliable.,positive,7,0
TKT00278,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 34419.,negative,17,0
TKT00279,chat,I am very unhappy because my account has not worked since after the recent update. Please respond as soon as possible.,negative,21,1
TKT00280,chat,Great service and clear communication from the support team. I appreciate the quick response.,positive,14,0
TKT00281,email,I want to understand the warranty terms for this product. Please respond as soon as possible.,neutral,16,1
TKT00282,phone,Please tell me how to update my account details. My ticket number is 58959.,neutral,14,0
TKT00283,social,I like the new tracking and it is easy to use. My ticket number is 68024.,positive,16,0
TKT00284,chat,My refund is still pending and this experience is frustrating.,negative,10,0
TKT00285,email,I like the new video call and it is easy to use.,positive,12,0
TKT00286,app,I would like to know more about the available plans.,neutral,10,0
TKT00287,chat,Your support team resolved my issue quickly. Thank you. My ticket number is 11855.,positive,14,0
TKT00288,app,I want to understand the warranty terms for this product.,neutral,10,0
TKT00289,chat,The response from the team was helpful and professional. My ticket number is 68014.,positive,14,0
TKT00290,social,The delivery was late and the package arrived damaged.,negative,9,0
TKT00291,social,I want to cancel because the service quality is poor and unreliable. My ticket number is 56365.,negative,17,1
TKT00292,app,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00293,app,I like the new payment and it is easy to use. My ticket number is 62011.,positive,16,0
TKT00294,social,The delivery was late and the package arrived damaged. My ticket number is 83254.,negative,14,0
TKT00295,phone,I am very unhappy because my router has not worked since this morning. My ticket number is 96651. Please respond as soon as possible.,negative,24,1
TKT00296,email,I need information about the payment process. My ticket number is 46287.,neutral,12,0
TKT00297,phone,Can you confirm whether my ticket has been assigned?,neutral,9,0
TKT00298,app,The product quality is bad and I regret purchasing it. My ticket number is 84655.,negative,15,1
TKT00299,email,I need information about the payment process.,neutral,7,0
TKT00300,email,Can you share the status of my mobile app request? My ticket number is 30748.,neutral,15,0
TKT00301,social,I am checking if there is any scheduled maintenance today. My ticket number is 19606.,neutral,15,0
TKT00302,social,Billing is incorrect and I was charged twice this month.,negative,10,1
TKT00303,social,I would like to know more about the available plans.,neutral,10,0
TKT00304,phone,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00305,social,Can someone explain the difference between the plans? My ticket number is 93545.,neutral,13,0
TKT00306,chat,The response from the team was helpful and professional. My ticket number is 60099.,positive,14,0
TKT00307,social,My refund is still pending and this experience is frustrating. My ticket number is 15987. Please respond as soon as possible.,negative,21,1
TKT00308,phone,I am very unhappy because my order has not worked since this morning. My ticket number is 47065.,negative,18,0
TKT00309,phone,Can you share the status of my subscription request?,neutral,9,0
TKT00310,email,Billing is incorrect and I was charged twice this month.,negative,10,0
TKT00311,phone,I need information about the payment process. Please respond as soon as possible.,neutral,13,1
TKT00312,app,Billing is incorrect and I was charged twice this month.,negative,10,1
TKT00313,social,The installation was completed on time and everything works perfectly. I appreciate the quick response.,positive,15,0
TKT00314,email,Please tell me how to update my account details. My ticket number is 58622.,neutral,14,0
TKT00315,chat,The app crashes whenever I try to use tracking. My ticket number is 64201.,negative,14,1
TKT00316,app,I am satisfied with the plan and would recommend it to others.,positive,12,0
TKT00317,phone,I need information about the payment process.,neutral,7,0
TKT00318,social,The response from the team was helpful and professional.,positive,9,0
TKT00319,social,I need help finding the invoice for my last order.,neutral,10,0
TKT00320,social,The refund process was fast and convenient.,positive,7,0
TKT00321,chat,The delivery was late and the package arrived damaged.,negative,9,0
TKT00322,social,Great service and clear communication from the support team. My ticket number is 11045.,positive,14,0
TKT00323,phone,Can you share the status of my mobile app request?,neutral,10,0
TKT00324,phone,Great service and clear communication from the support team.,positive,9,0
TKT00325,phone,The product quality is bad and I regret purchasing it. My ticket number is 15624.,negative,15,0
TKT00326,phone,I would like to know more about the available plans. My ticket number is 13589. Please respond as soon as possible.,neutral,21,1
TKT00327,social,The insurance policy keeps failing and support has not resolved my issue.,negative,12,0
TKT00328,email,I want to understand the warranty terms for this product.,neutral,10,0
TKT00329,chat,The installation was completed on time and everything works perfectly.,positive,10,0
TKT00330,email,The app crashes whenever I try to use profile update. My ticket number is 39205.,negative,15,0
TKT00331,email,The response from the team was helpful and professional. My ticket number is 97916.,positive,14,0
TKT00332,email,I like the new report download and it is easy to use. My ticket number is 63290. I appreciate the quick response.,positive,22,0
TKT00333,social,The delivery was late and the package arrived damaged.,negative,9,0
TKT00334,social,The order is working well and I am happy with the service.,positive,12,0
TKT00335,phone,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00336,phone,I am very unhappy because my account has not worked since three days ago. My ticket number is 39934.,negative,19,0
TKT00337,phone,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00338,chat,The delivery was smooth and the product quality is excellent. I appreciate the quick response.,positive,15,0
TKT00339,chat,I am very unhappy because my mobile app has not worked since this morning. Please respond as soon as possible.,negative,20,1
TKT00340,email,I like the new video call and it is easy to use. My ticket number is 71400.,positive,17,0
TKT00341,app,Please provide the steps to activate notifications.,neutral,7,0
TKT00342,email,I want to understand the warranty terms for this product. My ticket number is 94116.,neutral,15,0
TKT00343,chat,I want to cancel because the service quality is poor and unreliable. My ticket number is 13806. Please respond as soon as possible.,negative,23,1
TKT00344,email,My refund is still pending and this experience is frustrating.,negative,10,0
TKT00345,app,I want to cancel because the service quality is poor and unreliable. My ticket number is 58929. Please respond as soon as possible.,negative,23,1
TKT00346,phone,The response from the team was helpful and professional.,positive,9,0
TKT00347,chat,The refund process was fast and convenient. My ticket number is 57154.,positive,12,0
TKT00348,email,I am checking if there is any scheduled maintenance today.,neutral,10,0
TKT00349,social,The app crashes whenever I try to use notifications.,negative,9,0
TKT00350,email,The delivery was smooth and the product quality is excellent.,positive,10,0
TKT00351,app,Your support team resolved my issue quickly. Thank you. I appreciate the quick response.,positive,14,0
TKT00352,social,The insurance policy is working well and I am happy with the service.,positive,13,0
TKT00353,social,The service plan keeps failing and support has not resolved my issue. My ticket number is 14725.,negative,17,0
TKT00354,email,The account keeps failing and support has not resolved my issue.,negative,11,0
TKT00355,chat,Please tell me how to update my account details.,neutral,9,0
TKT00356,app,The internet speed is slow and customer care is not helping.,negative,11,1
TKT00357,social,The app crashes whenever I try to use profile update.,negative,10,1
TKT00358,email,I like the new analytics and it is easy to use.,positive,11,0
TKT00359,phone,My refund is still pending and this experience is frustrating. My ticket number is 12727.,negative,15,1
TKT00360,app,Please provide the steps to activate payment.,neutral,7,0
TKT00361,social,I need help finding the invoice for my last order. Please respond as soon as possible.,neutral,16,1
